Dish_Name,Category,Food,Calorie,Price
Samosa,Snacks,Veg,91,20
HealthyThal,Lunch,Veg,2197,807.66
Nessi,Snacks,Non-Veg,1445,701.06
Nikkie,Snacks,Non-Veg,1139,369.2
Katinka,Breakfast,Non-Veg,1344,432.28
Diena,Breakfast,Veg,1229,613.73
Maye,Breakfast,Veg,1474,899.86
Ann-marie,Lunch,Non-Veg,2521,341.43
Krissy,Snacks,Non-Veg,1047,440.42
Evita,Snacks,Non-Veg,1868,810.45
Greta,Lunch,Non-Veg,1465,658.78
Devinne,Lunch,Non-Veg,1411,926.99
Wanda,Snacks,Non-Veg,2434,283.49
Allis,Breakfast,Veg,2505,821.69
Junette,Lunch,Non-Veg,2842,474.59
Merline,Lunch,Non-Veg,2176,387.11
Joeann,Snacks,Non-Veg,2866,792.04
Sella,Dinner,Non-Veg,953,242.76
Peri,Breakfast,Veg,1740,502.69
Sonny,Lunch,Non-Veg,859,792.27
Terza,Lunch,Non-Veg,1084,879.31
Sileas,Breakfast,Veg,1397,306.72
Carlin,Dinner,Veg,2598,561.02
Moselle,Dinner,Veg,2906,637.96
Isobel,Lunch,Non-Veg,2468,219.95
Xylia,Breakfast,Veg,2317,689.95
Leonanie,Breakfast,Veg,1766,359.62
Flor,Dinner,Non-Veg,2033,558.97
Billy,Breakfast,Non-Veg,2340,891.21
Vanda,Snacks,Veg,2522,553.04
Perl,Dinner,Veg,809,821.18
Shaylah,Dinner,Non-Veg,1824,615.35
Ella,Lunch,Veg,558,871.95
Codi,Dinner,Non-Veg,692,640.53
Hedvig,Snacks,Non-Veg,665,959.58
Nicki,Snacks,Non-Veg,1572,549.76
Antonella,Dinner,Veg,2994,978.12
Vally,Snacks,Veg,1791,518.19
Jeralee,Breakfast,Veg,2491,323.41
Kathye,Dinner,Non-Veg,1849,458.49
Rosabel,Lunch,Non-Veg,2995,794.12
Hyacinthia,Breakfast,Non-Veg,902,617.18
Avril,Snacks,Veg,2896,308.45
Melodie,Lunch,Non-Veg,762,253.17
Tabatha,Snacks,Non-Veg,2075,773.86
Lizbeth,Lunch,Non-Veg,1875,572.58
Chery,Snacks,Non-Veg,2166,278.12
Lorilyn,Dinner,Non-Veg,1988,715.26
Amalle,Snacks,Non-Veg,2764,547.52
Maitilde,Dinner,Non-Veg,996,266.35
Henryetta,Breakfast,Veg,1158,826.0
Jemie,Dinner,Veg,2790,752.62
Kip,Breakfast,Non-Veg,2689,915.71
Eveline,Dinner,Non-Veg,2797,954.8
Roana,Snacks,Non-Veg,856,330.91
Isidora,Dinner,Non-Veg,1273,348.54
Ashely,Dinner,Non-Veg,2359,813.27
Karlie,Snacks,Non-Veg,2376,827.91
Dawna,Breakfast,Non-Veg,1470,567.27
Gale,Breakfast,Veg,1483,515.22
Stepha,Snacks,Veg,2001,281.57
Halette,Snacks,Non-Veg,910,572.15
Aundrea,Dinner,Non-Veg,1310,779.09
Mareah,Lunch,Non-Veg,1645,221.04
Violante,Snacks,Non-Veg,1688,315.9
Druci,Lunch,Non-Veg,1772,913.17
Violetta,Dinner,Non-Veg,2078,742.4
Beatrice,Lunch,Veg,2907,333.82
Paige,Lunch,Non-Veg,1102,859.82
Anica,Lunch,Non-Veg,1204,888.19
Audie,Dinner,Veg,1461,611.72
Elspeth,Snacks,Veg,797,317.21
Astrix,Dinner,Non-Veg,2029,461.22
Vikki,Lunch,Non-Veg,1028,216.83
Arden,Dinner,Veg,880,572.13
Teena,Snacks,Veg,2056,278.1
Vanna,Lunch,Non-Veg,773,963.76
Gayleen,Breakfast,Veg,1667,830.42
Sisile,Snacks,Veg,529,711.68
Aprilette,Snacks,Non-Veg,1555,487.26
Fianna,Snacks,Non-Veg,513,819.0
Annie,Breakfast,Veg,803,223.51
Colette,Lunch,Veg,686,448.8
Thalia,Dinner,Veg,636,958.0
Annamaria,Dinner,Veg,1721,688.41
Karen,Breakfast,Non-Veg,1335,984.54
Missy,Breakfast,Non-Veg,1206,892.56
Sara-ann,Snacks,Veg,2817,704.45
Vivyan,Dinner,Veg,578,558.24
Norean,Lunch,Non-Veg,1859,620.74
Rosanna,Breakfast,Veg,2898,490.71
Crysta,Lunch,Veg,2819,863.47
Meghan,Snacks,Veg,1208,383.4
Hanna,Snacks,Non-Veg,2502,798.41
Janith,Breakfast,Non-Veg,695,310.74
Carol-jean,Lunch,Veg,1438,568.68
Hanni,Lunch,Non-Veg,2441,635.84
Karly,Lunch,Veg,838,793.58
Chiquita,Breakfast,Non-Veg,2894,366.73
Crissie,Lunch,Veg,2045,553.0
Leslie,Lunch,Veg,1626,721.9
Faustine,Breakfast,Non-Veg,2583,943.08
Hyacinthe,Lunch,Non-Veg,526,681.81
Jackie,Breakfast,Veg,2505,456.51
Arlee,Breakfast,Non-Veg,2982,658.73
Pearline,Breakfast,Non-Veg,2856,239.05
Ivie,Snacks,Veg,2585,873.27
Idalina,Lunch,Veg,2699,994.12
Randie,Snacks,Veg,2277,833.58
Jori,Dinner,Non-Veg,712,992.54
Marlena,Breakfast,Veg,948,278.32
Sandra,Breakfast,Non-Veg,1228,368.85
Vikki,Lunch,Non-Veg,2164,240.35
Maisey,Lunch,Non-Veg,1873,214.62
Joelie,Dinner,Veg,1480,623.78
Carri,Lunch,Veg,1424,802.13
Stephine,Dinner,Non-Veg,648,827.45
Billie,Dinner,Non-Veg,2755,609.67
Ainsley,Snacks,Veg,2463,371.9
Averil,Snacks,Veg,1337,306.79
Cari,Breakfast,Veg,2297,441.63
Esma,Breakfast,Non-Veg,2928,621.06
Berny,Lunch,Non-Veg,2761,629.08
Beverly,Lunch,Non-Veg,2916,721.78
Shalne,Breakfast,Veg,950,275.01
Max,Breakfast,Veg,873,310.96
Evelina,Lunch,Non-Veg,2226,557.66
Meagan,Breakfast,Veg,1606,427.7
Frederica,Lunch,Veg,1901,761.16
Seline,Lunch,Veg,1735,858.47
Ailyn,Dinner,Veg,2642,526.46
Hollyanne,Breakfast,Non-Veg,2016,739.01
Lory,Lunch,Non-Veg,2119,877.12
Naoma,Breakfast,Veg,559,340.54
Peggie,Lunch,Non-Veg,2557,605.86
Lyn,Dinner,Veg,2578,553.3
Verine,Dinner,Veg,1648,309.57
Catlee,Lunch,Veg,1907,399.92
Mel,Breakfast,Veg,1762,886.91
Juli,Dinner,Veg,1160,593.02
Karoline,Snacks,Non-Veg,2299,399.56
Alika,Snacks,Veg,1007,288.03
Dasie,Lunch,Non-Veg,1413,972.94
Shayna,Snacks,Non-Veg,1005,227.51
Gretna,Lunch,Veg,1960,740.13
Candra,Snacks,Veg,894,744.87
Jordan,Lunch,Veg,1041,272.88
Shaylah,Breakfast,Veg,2568,587.79
Goldie,Snacks,Non-Veg,1093,367.02
Joanie,Breakfast,Veg,1281,500.34
Donelle,Breakfast,Non-Veg,2548,872.93
Melania,Breakfast,Veg,1552,341.84
Brina,Lunch,Veg,1444,393.03
Nerissa,Lunch,Non-Veg,2232,613.26
Wallie,Dinner,Veg,2904,966.6
Alli,Lunch,Veg,2080,757.7
Winne,Breakfast,Veg,2123,274.95
Evania,Lunch,Veg,2315,420.43
Helga,Lunch,Veg,1302,735.19
Chrissie,Lunch,Veg,1527,213.28
Starlin,Snacks,Non-Veg,2386,452.28
Pamelina,Dinner,Non-Veg,673,349.43
Amberly,Breakfast,Veg,1609,929.39
Jemie,Dinner,Non-Veg,1792,784.98
Eleonora,Dinner,Veg,1824,682.48
Rozina,Breakfast,Non-Veg,2821,734.66
Coreen,Lunch,Veg,1293,371.14
Roxy,Breakfast,Non-Veg,924,365.46
Etti,Dinner,Non-Veg,1448,361.4
Margi,Lunch,Non-Veg,2906,876.04
Catriona,Lunch,Non-Veg,2520,917.87
Karolina,Snacks,Veg,1025,431.45
Daniele,Dinner,Veg,1197,986.88
Shayna,Snacks,Non-Veg,1449,673.33
Caitlin,Dinner,Non-Veg,1449,339.54
Sharai,Breakfast,Non-Veg,2129,815.54
Stevana,Snacks,Veg,2676,480.42
Dreddy,Snacks,Veg,1902,952.82
Bonnie,Snacks,Veg,1225,705.04
Ernesta,Snacks,Veg,1073,740.81
Kassia,Snacks,Non-Veg,2139,997.46
Ulrica,Dinner,Veg,1917,629.78
Sharai,Snacks,Non-Veg,2652,857.53
Betteann,Dinner,Non-Veg,2131,224.94
Tabby,Lunch,Veg,661,950.39
Tatiana,Lunch,Non-Veg,1737,969.09
Rozina,Snacks,Non-Veg,2179,552.85
Essy,Lunch,Non-Veg,2465,708.78
Johna,Snacks,Non-Veg,1191,654.34
Tybi,Dinner,Veg,2536,742.84
Shell,Snacks,Veg,1001,490.42
Rhody,Lunch,Non-Veg,2208,351.43
Margalit,Dinner,Veg,2107,304.72
Jillene,Lunch,Non-Veg,2410,250.0
Fredia,Lunch,Veg,1464,265.92
Dulcinea,Lunch,Non-Veg,1012,422.81
Friederike,Snacks,Non-Veg,2873,970.59
Chelsy,Dinner,Veg,2549,929.1
Colleen,Breakfast,Veg,2897,431.4
Shayna,Snacks,Veg,2983,389.2
Magdaia,Breakfast,Non-Veg,1920,720.51
Nancie,Dinner,Veg,2042,728.5
Nadine,Dinner,Veg,895,991.54
Taryn,Snacks,Non-Veg,802,532.98
Leanor,Breakfast,Non-Veg,950,779.73
Shela,Dinner,Veg,1468,642.61
Carlene,Dinner,Veg,1475,924.97
Aubine,Lunch,Non-Veg,923,356.73
Joanna,Snacks,Non-Veg,802,582.6
Ursula,Lunch,Veg,2564,620.24
Lucita,Breakfast,Non-Veg,610,323.02
Trisha,Dinner,Non-Veg,1589,934.03
Darla,Dinner,Veg,2493,677.01
Minna,Dinner,Non-Veg,2526,506.75
Lorri,Dinner,Non-Veg,1557,468.21
Verine,Snacks,Veg,919,871.87
Coreen,Snacks,Non-Veg,1375,550.5
Angelika,Breakfast,Veg,2691,234.79
Gwenny,Breakfast,Veg,1267,732.23
Lian,Breakfast,Non-Veg,1409,690.65
Suki,Snacks,Veg,2947,665.32
Min,Dinner,Veg,505,563.39
Cicily,Lunch,Veg,2504,322.05
Legra,Dinner,Non-Veg,1433,286.02
Isobel,Snacks,Veg,841,289.87
Bel,Dinner,Veg,915,211.37
Joan,Dinner,Non-Veg,2811,660.77
Norean,Dinner,Veg,1619,805.29
Julee,Lunch,Non-Veg,2508,597.19
Olwen,Breakfast,Veg,1885,260.99
Joell,Snacks,Non-Veg,2045,620.89
Merilyn,Dinner,Non-Veg,2049,318.4
Shoshana,Snacks,Non-Veg,1971,925.76
Luce,Breakfast,Non-Veg,1158,984.54
Gretta,Breakfast,Veg,1990,718.34
Pattie,Dinner,Non-Veg,550,987.31
Janette,Dinner,Veg,2782,266.82
Keelia,Breakfast,Veg,562,769.98
Carlynn,Lunch,Non-Veg,1217,293.19
Amber,Breakfast,Non-Veg,2299,205.07
Suzy,Lunch,Veg,1515,575.91
Zelma,Breakfast,Veg,588,788.67
Lilli,Lunch,Veg,666,636.79
Chiquita,Dinner,Non-Veg,2583,238.03
Cassandry,Dinner,Non-Veg,2541,361.04
Faunie,Dinner,Non-Veg,1828,855.24
Dolorita,Snacks,Veg,1571,938.07
Gretna,Breakfast,Non-Veg,1728,709.95
Jenn,Breakfast,Veg,1608,465.63
Doro,Dinner,Non-Veg,2040,231.92
Calida,Lunch,Veg,565,625.52
Dody,Dinner,Non-Veg,1302,370.5
Toma,Lunch,Non-Veg,2972,665.0
Lynett,Lunch,Non-Veg,2830,955.24
Brigid,Dinner,Veg,2302,494.91
Lola,Dinner,Veg,2963,828.75
Stephie,Dinner,Veg,2930,587.87
Shannah,Snacks,Veg,2174,253.13
Arlie,Lunch,Veg,872,956.31
Codee,Breakfast,Veg,1613,209.19
Wynne,Dinner,Non-Veg,952,546.86
Cybill,Dinner,Non-Veg,2626,632.81
Kassia,Breakfast,Non-Veg,922,463.82
Corissa,Snacks,Non-Veg,2389,364.66
Kynthia,Dinner,Non-Veg,2870,779.19
Aubrey,Breakfast,Non-Veg,1944,253.56
Calida,Breakfast,Non-Veg,843,544.65
Maure,Snacks,Non-Veg,2205,778.34
Delora,Snacks,Non-Veg,1597,238.65
Matty,Lunch,Veg,778,934.46
Joella,Lunch,Veg,2945,407.77
Fredia,Lunch,Veg,1215,870.73
Fina,Breakfast,Veg,2076,799.01
Karole,Snacks,Veg,992,444.94
Roxane,Snacks,Non-Veg,2696,619.11
Tawnya,Dinner,Non-Veg,2116,565.43
Alayne,Dinner,Veg,721,879.12
Casie,Lunch,Non-Veg,1709,417.12
Heddie,Breakfast,Non-Veg,1292,918.73
Wenona,Breakfast,Veg,2380,632.96
Rhoda,Dinner,Veg,709,407.99
Frederica,Snacks,Veg,2276,946.41
Bobby,Lunch,Veg,2520,996.43
Amabel,Snacks,Veg,2989,997.82
Sarita,Snacks,Non-Veg,1676,797.27
Robinett,Snacks,Veg,914,285.02
Allison,Dinner,Non-Veg,1409,866.94
Kimberlyn,Dinner,Veg,2517,892.92
Shandee,Lunch,Non-Veg,2073,473.49
Othilia,Lunch,Non-Veg,2381,400.78
Chiquia,Lunch,Non-Veg,1931,417.08
Fleurette,Lunch,Non-Veg,1858,356.98
Charlean,Dinner,Veg,2398,434.58
Darbie,Snacks,Non-Veg,2592,313.34
Mandy,Breakfast,Veg,2584,331.02
Emily,Dinner,Non-Veg,1008,632.55
Lorelei,Breakfast,Veg,1352,877.37
Moria,Breakfast,Veg,1917,212.71
Lorna,Breakfast,Veg,2327,278.57
Hali,Breakfast,Non-Veg,573,876.56
Vitia,Breakfast,Veg,902,670.22
Marinna,Dinner,Non-Veg,2090,762.25
Jacklin,Breakfast,Non-Veg,1068,912.86
Karry,Lunch,Veg,1290,494.7
Astra,Snacks,Veg,1038,316.45
Margie,Snacks,Non-Veg,2484,579.84
Ibby,Breakfast,Non-Veg,548,322.05
Ethel,Breakfast,Veg,1089,516.42
Gina,Breakfast,Veg,2686,441.06
Justina,Snacks,Non-Veg,1543,930.12
Minny,Dinner,Veg,618,749.78
Electra,Snacks,Non-Veg,1306,824.73
Alma,Breakfast,Veg,2574,754.21
Shanon,Lunch,Veg,1049,852.06
Mellisa,Breakfast,Veg,1082,383.68
Hedda,Snacks,Veg,1377,281.96
Talia,Breakfast,Veg,2789,824.69
Florrie,Dinner,Non-Veg,687,426.58
Max,Lunch,Veg,2475,854.07
Gusella,Lunch,Veg,1827,407.61
Meggy,Dinner,Non-Veg,793,523.04
Briana,Breakfast,Non-Veg,2441,322.78
Yasmin,Breakfast,Veg,1476,562.21
Starla,Lunch,Veg,2768,679.75
Dierdre,Breakfast,Veg,2420,713.69
Sorcha,Breakfast,Non-Veg,1818,985.34
Annabella,Breakfast,Veg,1801,583.84
Katusha,Breakfast,Non-Veg,1869,776.2
Kellie,Breakfast,Non-Veg,1316,501.09
Caroljean,Lunch,Non-Veg,2599,249.24
Sascha,Snacks,Non-Veg,2075,957.75
Cyndia,Snacks,Non-Veg,2918,710.47
Allis,Breakfast,Non-Veg,1112,582.26
Brietta,Dinner,Veg,2433,703.47
Maribel,Lunch,Non-Veg,1819,424.41
Gwen,Dinner,Veg,2006,209.19
Elnora,Breakfast,Veg,1366,789.05
Rebeca,Breakfast,Veg,2142,377.65
Avrit,Breakfast,Non-Veg,804,560.97
Penelopa,Breakfast,Veg,2936,233.74
Leone,Lunch,Veg,2518,428.96
Nerta,Snacks,Veg,1994,249.61
Krystal,Breakfast,Non-Veg,659,558.13
Norma,Lunch,Non-Veg,2658,493.77
Christen,Dinner,Veg,2486,419.32
Juana,Lunch,Veg,1248,876.68
Denna,Dinner,Non-Veg,865,329.23
Jenni,Breakfast,Non-Veg,540,464.85
Miof mela,Dinner,Non-Veg,1228,347.43
Rozina,Snacks,Non-Veg,1436,222.5
Barbabra,Breakfast,Veg,1532,782.56
Fernanda,Dinner,Non-Veg,2858,344.18
Vivianna,Dinner,Non-Veg,2232,970.69
Billy,Breakfast,Veg,2916,448.92
Valry,Lunch,Veg,590,480.28
Queenie,Dinner,Non-Veg,1573,400.12
Hollie,Snacks,Veg,2875,584.86
Sela,Dinner,Veg,2069,827.28
Daveta,Breakfast,Veg,1029,916.53
Dody,Dinner,Non-Veg,1935,810.17
Anabelle,Dinner,Non-Veg,893,422.84
Nancie,Breakfast,Veg,2957,662.53
Kaleena,Dinner,Veg,1898,657.77
Stacee,Breakfast,Veg,543,662.28
Ashien,Snacks,Veg,2482,562.04
Giacinta,Breakfast,Veg,1260,244.05
Monah,Lunch,Veg,950,353.79
Gay,Dinner,Non-Veg,611,463.49
Wilone,Dinner,Non-Veg,1968,270.79
Cherie,Breakfast,Veg,1646,868.02
Francesca,Snacks,Non-Veg,2710,718.08
Ferdinande,Dinner,Veg,890,205.72
