Dish_Name,Category,Food,Calorie,Price
Sandwich,Breakfast,Veg,2610,335.69
Grilled Vada Pav,Snacks,Veg,1917,395.71
Chapati,Dinner,Veg,1528,305.97
Fruit Bowl,Breakfast,Veg,1417,741.79
Panner Kholapuri,Lunch,veg,2922,805.52
Dal waran,Dinner,Veg,2402,705.4
Bhindi Do pyazza,Dinner,Non-Veg,1552,863.49
Neer Dosa,Snacks,Veg,987,834.37
Ommelete,Breakfast,Non-Veg,2744,893.51
Plak Methi saag,Dinner,veg,1698,371.22
Dal tomatari,Dinner,Veg,2216,381.95
Masala Bhat,Lunch,Non-Veg,888,611.95
Griiled Pomfret,Dinner,Non-Veg,848,306.79
Alu Paratha,Breakfast,Veg,1109,761.47
Egg Bhurji,Breakfast,Non-Veg,1294,962.16
Laccha Paratha,Breakfast,Veg,1411,790.34
Coconut water,Breakfast,Veg,1340,643.83
Sabudana khichdi,Breakfast,Veg,735,450.99
Achari Dal,Lunch,Veg,1179,698.92
Healthy Tomato Soup,Snacks,Veg,885,736.81
Egg salad,Dinner,Non-Veg,2868,547.69
Grilled Chicken,Dinner,Non-Veg,1779,595.72
Soya Roti,Dinner,Veg,1075,685.38
fruit Yogurt,Breakfast,Veg,798,299.33
Avacado Egg Wrap,Breakfast,Non-Veg,1158,277.06
Egg Chipotle,Dinner,Non-Veg,1519,775.57
Soya Nutri Kabab,Snacks,veg,2785,601.32
Spanish Ommelete,Breakfast,Non-Veg,2645,469.69
Wheat Bread,Breakfast,Veg,887,683.05
kalla Chana chaat,Dinner,Veg,771,511.54
Chappati,Lunch,Veg,1796,864.89
Methi Thepla,Dinner,Veg,2007,459.08
Dahi Wada,Snacks,veg,1556,933.88
chaapli kebab,Breakfast,Non-Veg,2505,648.21
Methi Aloo,Lunch,Veg,2800,955.44
Missi Roti,Breakfast,Veg,2034,436.21
Veg Shammi Kabab,Snacks,Veg,1386,706.79
Tomato Corriander Soup,Snacks,Veg,2200,729.49
 Bhindi Achari,Lunch,Veg,1716,433.52
Soya Garlic Chilly,Dinner,Veg,1610,873.42
Chicken Do Pyazza,Lunch,Non-Veg,2521,263.49
kosa mangsho,Lunch,Veg,1889,615.41
Chicken Pahadi,Dinner,Non-Veg,1338,582.04
Chicken satay,Dinner,Non-Veg,2872,559.26
egg dosa,Breakfast,Non-Veg,2368,544.97
Beans Roll,Snacks,Veg,2826,636.34
Paneer Kabab,Dinner,veg,1836,439.76
Fish Malwani Masala,Lunch,Non-Veg,2049,722.51
Cauliflower Rice,Dinner,veg,2220,833.64
Chicken Pakoda,Snacks,Non-Veg,2326,572.42
Chicken Chetinard,Lunch,Non-Veg,2386,667.76
Fish Finger,Snacks,Non-Veg,1407,480.87
Chilly Chicken,Dinner,Non-Veg,1144,306.88
Gobi sukha,Dinner,Veg,515,995.26
Brown Rice Khichdi,Dinner,Veg,728,316.14
Palak Paneer,Lunch,Veg,2364,700.8
Griilled fish,Dinner,Non-Veg,1657,825.71
egg puff,Breakfast,Non-Veg,1932,603.83
chiken momo,Breakfast,Non-Veg,1528,432.03
Upma,Breakfast,veg,2792,644.24
Vada,Snacks,Veg,2064,790.84
Fried Chinese,Dinner,Veg,1116,577.8
Yellow Dal Tadka,Lunch,Veg,773,996.97
Fruit Platter,Breakfast,Veg,1872,810.02
prawn malai curry,Lunch,Non-Veg,1225,871.05
Samosa,Snacks,Veg,1016,937.01
Veg Raita,Lunch,Veg,2029,963.52
 Masala Veg Pulao,Lunch,Veg,986,879.94
Multi Grain Aloo Paratha,Breakfast,Veg,523,777.98
Gobi Tikka Masala,Lunch,Veg,727,242.41
Masala Chicken Pulao,Lunch,Non-Veg,2657,812.09
Moong Dal,Lunch,Veg,1541,211.83
Mutton Paya,Snacks,Non-Veg,2092,333.28
Bajra Brown Rice,Dinner,Veg,1656,878.06
Sweetcorn,Snacks,Veg,545,206.57
Herb Omellete,Breakfast,Non-Veg,1499,372.54
"Chicken Seekh Kabab,",Lunch,Non-Veg,712,518.25
Rohu fish curry,Lunch,Non-Veg,2534,289.03
Idli,Breakfast,Veg,860,758.29
Grilled Prawn,Dinner,Non-Veg,822,721.45
Pineapple Juice,Snacks,Veg,1007,529.64
Egg mayo Bread sandwich,Breakfast,Non-Veg,2395,357.62
Grape Juice,Snacks,veg,2664,673.81
Chawli masala,Dinner,Veg,1643,247.56
Kala chana Kabab,Dinner,Veg,2260,750.83
 Chawli Ussal,Lunch,Veg,2584,753.47
Rawa dosa,Dinner,Veg,2967,314.62
Ragda Pattice,Lunch,Non-Veg,2016,232.37
Peached Ice Tea,Breakfast,Veg,2016,430.76
Greek Yogurt,Breakfast,Veg,613,734.13
Ragda Pattice,Lunch,Veg,1511,458.54
Fried Rice,Dinner,Veg,1527,716.22
Khmmchi salad,Dinner,Veg,1233,613.76
Scramble egg,Breakfast,Non-Veg,2122,437.97
Egg Bhurji With Sprouts,Breakfast,Non-Veg,1516,942.3
fruit Salad,Snacks,veg,1701,347.29
Beans Poriyal,Dinner,Veg,679,211.13
Orange Juice,Snacks,Veg,1168,543.39
Paneer Sandwich,Breakfast,Veg,730,458.28
